科目代號,學分數,科目名稱(中),科目名稱(英),授課教師(中),授課教師(英),開課系級,上課時間(中),上課時間(英),上課地點,修別,授課語文,"是否為核心通識",異動備註,科目備註說明,
601499001,2.0,國際金融治理,Governance of,陳秉逵、臧正,CHEN PING-KUEI/TSANG CHENG-,法律二甲,四56,thu14-16 thu 14 15,商館260105,選/Elective,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:N/A,
601500001,1.0,歐盟訴訟法專題,Seminar on European,許耀明,HSU YAO-MING,法律二甲,二7,tue16-17  tue 16,綜合271410,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:N/A,
601521001,2.0,國際人道法與難,International,蔡沛倫,TSAI PEI-LUN,法律三甲,二FG,tue19-21 tue 19 20,綜合271407,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:N/A,
601526001,2.0,財法中心公益服,Pro Bono Legal,朱德芳,CHU TE-FANG,法律三甲,二CD,N/A,綜合271410,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:N/A,
601527001,2.0,財經法律實務研,Introduction of Legal,陳長文,CHEN CHARNG-VEN,法律三甲,三EF,N/A,綜合271315,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:N/A,
601535001,2.0,民法總則實例研,Case Study on Civil,吳瑾瑜,WU JIIN-YU,法律一甲,二78,tue16-18 tue 16 17,大勇210104,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:本課程教授內容為民法總則課程之延續，敬請大四同學勿選修此門課程。,
601559001,2.0,公司法案例研習,Case Studies on,朱德芳、許政,CHU TE-FANG/HSU CHENG-HSIEN,法律三甲,五56,fri14-16 fri 14 15,綜合271411,選/Elective,中文,否/No,＠異動資訊Information of alteration:教室異動於2018/01/26;,＠備註Note:N/A,
601566001,3.0,法學思維與刑法,Legal Thinking and,陳志輝,CHEN JYH-HUEI,法律三甲,四234,thu09-12 thu 09 10 11,綜合271411,選/Elective,中文,否/No,＠異動資訊Information of alteration:教室異動於2018/01/26;,＠備註Note:N/A,
601588001,1.0,刑法中心公益服,Pro Bono Legal,陳志輝,CHEN JYH-HUEI,法律三甲,一2,mon09-10  mon 09,綜合271407,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:N/A,
601595001,2.0,著作權法,Copyright Law,馮震宇,FONG JERRY G.,法律三甲,三34,wed10-12 wed 10 11,綜合270201,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:N/A,
